SYMBOL,onco_driven_score
RNF17,1
ANXA1,1
FOXD2,1
COL9A1,1
SLC33A1,1
RBMY2AP,1
MAGT1,1
YTHDF2,1
EFHC1,1
SERPINB4,1
DHRS2,1
RYK,1
ADORA2B,1
KCNQ3,1
NCOA7,1
ASPN,1
UBA3,1
TNFAIP6,1
VGLL3,1
NPFF,1
MIA2,1
TAS2R1,1
VASP,1
ABO,1
PAEP,1
FDXR,1
BBX,1
MED12L,1
CCL23,1
ZNF395,1
PLEK2,1
CYP4F29P,1
AKAP4,1
MPPED1,1
S100B,1
VNN2,1
PPP1R13B,1
TBCC,1
PDCD10,1
MGST2,1
PDGFC,1
ERAP1,1
ABCA3,1
RRP15,1
LIPE,1
PDIK1L,1
GSDMA,1
CT55,1
DYNLT2,1
ZDHHC8P1,1
KCNN4,1
RAB1A,1
KCNJ9,1
ASL,1
ASNS,1
CLIP4,1
IGSF1,1
GFAP,1
TOR1A,1
KRIT1,1
ITGA6,1
FBN2,1
AMPD3,1
LY6D,1
MST1L,1
BIN2,1
GBE1,1
ST3GAL4,1
DOC2A,1
RNF186,1
MXD3,1
SSBP2,1
TMEM42,1
SMCP,1
ECE1,1
H3C7,1
SLC30A4,1
TPP1,1
INO80C,1
SLC22A18AS,1
LINC00926,1
LCN1,1
TPD52L3,1
IL17RC,1
SCN3A,1
B4GALNT1,1
XPNPEP2,1
ZIC1,1
LORICRIN,1
SMOX,1
PDE4A,1
TANC2,1
PNRC2,1
PRKAR1B,1
LMO4,1
ZFP57,1
DHX29,1
DKK1,1
DLG5,1
PPARGC1A,1
ATR,1
ABCB11,1
HOXA3,1
S100A11,1
PDE5A,1
DOK3,1
ATG2A,1
MAGEA10,1
LIAS,1
RHBDL2,1
BCKDK,1
LACTB2,1
RCN1,1
SOX10,1
TSC2,1
LINC01963,1
F13B,1
KLHL2,1
GPRC5A,1
CLGN,1
ACTG2,1
LYL1,1
SATB2,1
CRCP,1
CCDC22,1
MFAP5,1
KLHL12,1
IL1RL2,1
TXLNG,1
AHR,1
LMNTD2-AS1,1
HOXC5,1
DNMT3L,1
CNGA2,1
PRSS3P2,1
SYT12,1
SLC18B1,1
ADAMTSL4,1
INTS7,1
FLYWCH2,1
ANHX,1
TRIM23,1
ARHGEF12,1
AIDA,1
ACAP2,1
GRK4,1
MOGS,1
MAEA,1
CDPF1,1
CTSZ,1
ARSD,1
CSDE1,1
SETDB1,1
CIC,1
CLRN3,1
HRK,1
ICOS,1
C1orf52,1
CLDN14,1
RBP1,1
CRIP3,1
DNAJB14,1
SKAP2,1
MAP3K21,1
SLC52A1,1
PNPLA4,1
RNF144A,1
TLN1,1
CRISP1,1
ZNF821,1
KITLG,1
KLF5,1
CYTL1,1
TCL1B,1
CXCL11,1
ANAPC10,1
IL18,1
PRELP,1
RPS28,1
CDC42SE2,1
PRAME,1
SEMA4D,1
MATN4,1
GLRA1,1
GALR3,1
CDC42BPA,1
ETV5,1
C1orf159,1
PHF7,1
PDE4B,1
NCR3,1
ADAMTS2,1
UCP2,1
MSRB2,1
SLC39A6,1
MTPAP,1
ENTPD3,1
CD36,1
DBP,1
SLC7A3,1
PAPPA2,1
SECTM1,1
DOCK9,1
TUBGCP4,1
EFNA4,1
NEUROD4,1
CNTN2,1
BAG4,1
TACC3,1
FAM50A,1
GCKR,1
RAC3,1
PGR,1
ATXN3,1
H1-3,1
KDELR3,1
H2BC12,1
MYO19,1
CCKAR,1
BMS1P2,1
SULF1,1
GPR20,1
TLE1,1
FOLR2,1
LONRF2,1
ACACB,1
DIRAS2,1
OSBPL10,1
ROBO1,1
POLR2M,1
WDFY2,1
SYNE3,1
ALDH6A1,1
CTRB1,1
IGBP1,1
LIFR,1
TXNRD3,1
TACC2,1
RGS14,1
TP53INP1,1
IL1RAPL1,1
CACNG3,1
TMEM176A,1
RORB,1
ITPR2,1
ESF1,1
CYSLTR1,1
FUT7,1
