SYMBOL,overall_score,affected_pathway_score,animal_model_score,genetic_association_score,literature_score,rna_expression_score,somatic_mutation_score,druggability_score_smallmolecule,druggability_score_other_modalities,druggability_score_antibody
CEACAM20,0.0508741314785065,0.0,0.0,0.006582668982446194,0.010275,0.03458232266085798,0.0,0.0,0.0,0.375
HOXB-AS1,0.08265184844827035,0.0,0.0,0.0,0.0,0.08265184844827035,0.0,0.0,0.0,0.0
AC004453.2,0.11484,0.0,0.0,0.0,0.0,0.11484,0.0,0.0,0.0,0.0
AC002480.1,0.05350778369405139,0.0,0.0,0.0,0.0,0.05350778369405139,0.0,0.0,0.0,0.0
LINC00707,0.04686899876907842,0.0,0.0,0.0,0.0,0.04686899876907842,0.0,0.0,0.0,0.0
ATP10A-DT,0.09408,0.0,0.0,0.0,0.0,0.09408,0.0,0.0,0.0,0.0
AC044784.1,0.07938397178123292,0.0,0.0,0.0,0.0,0.07938397178123292,0.0,0.0,0.0,0.0
ZNF57,0.021876893169873915,0.0,0.0,0.0,0.009100347222222223,0.012776545947651695,0.0,0.0,0.0,0.0
GIMAP2,0.03671793387225923,0.0,0.0,0.021888899380962057,0.00112,0.013709034491297184,0.0,0.5499999999999999,0.0,0.0
AC011120.1,0.08144031232265239,0.0,0.0,0.0,0.0,0.08144031232265239,0.0,0.0,0.0,0.0
SIRPG-AS1,0.03845476847352666,0.0,0.0,0.0,0.0,0.03845476847352666,0.0,0.0,0.0,0.0
CYP4Z2P,0.03730507107191063,0.0,0.0,0.0,0.03730507107191063,0.0,0.0,0.0,0.0,0.0
DNM3OS,0.02300358157995017,0.0,0.0,0.0,0.0,0.02300358157995017,0.0,0.0,0.0,0.0
EXTL2P1,0.003720387572612275,0.0,0.0,0.003720387572612275,0.0,0.0,0.0,0.0,0.0,0.0
LINC01837,0.05833060665476132,0.0,0.0,0.0,0.0,0.05833060665476132,0.0,0.0,0.0,0.0
NECTIN3-AS1,0.0495,0.0,0.0,0.0,0.0,0.0495,0.0,0.0,0.0,0.0
ST13P4,0.03241153786848073,0.0,0.0,0.0,0.03241153786848073,0.0,0.0,0.0,0.0,0.0
LINC01209,0.03276025007919558,0.0,0.0,0.0,0.0,0.03276025007919558,0.0,0.0,0.0,0.0
AC134508.1,0.03167460336302271,0.0,0.0,0.0,0.0,0.03167460336302271,0.0,0.0,0.0,0.0
AL033381.1,0.028624023788733282,0.0,0.0,0.0,0.0,0.028624023788733282,0.0,0.0,0.0,0.0
Z94721.2,0.026358826122675608,0.0,0.0,0.0,0.0,0.026358826122675608,0.0,0.0,0.0,0.0
AL137003.1,0.021062201983932903,0.0,0.0,0.0,0.0,0.021062201983932903,0.0,0.0,0.0,0.0
AC124248.1,0.022058688135054738,0.0,0.0,0.0,0.0,0.022058688135054738,0.0,0.0,0.0,0.0
AC069437.1,0.021401987199835742,0.0,0.0,0.0,0.0,0.021401987199835742,0.0,0.0,0.0,0.0
